,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Benzos,Cannabis,Coke,Crack,Ecstasy,Heroin,Ketamine,Drug_Use,EDU_18,EDU_Some_college,EDU_Cert,EDU_Uni,EDU_Mas,EDU_Doc,Age25_34,Age35_44,Age45_54,Age55_64,Age65_,Gender
0,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,-0.67825,1.93886,1.43533,0.7609600000000001,-0.14277,-0.71126,-0.21575,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
2,-0.46725,0.80523,-0.8473200000000001,-1.6209,-1.0145,-1.37983,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3,-0.14882,-0.80615,-0.01928,0.59042,0.5848899999999999,-1.37983,-1.18084,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0.73545,-1.6334,-0.45174,-0.30172,1.3061200000000002,-0.21712,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,-0.67825,-0.30033000000000004,-1.55521,2.03972,1.63088,-1.37983,-1.5485799999999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
7,-1.32828,1.93886,-0.8473200000000001,-0.30172,1.63088,0.19268,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,0.62967,2.57309,-0.97631,0.7609600000000001,1.13407,-1.37983,-1.5485799999999998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,-0.24649,0.0033200000000000005,-1.42424,0.59042,0.12331,-1.37983,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
10,-1.05308,0.80523,-1.11902,-0.7609600000000001,1.81175,0.19268,0.07987000000000001,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
11,-1.32828,0.0033200000000000005,0.14143,-1.92595,-0.52745,0.52975,1.2247,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
12,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987000000000001,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
13,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.8463700000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
15,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
16,-1.5507799999999998,-0.80615,-1.68062,0.28783000000000003,0.7583,-0.21712,-2.07848,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,0.52135,-1.23177,-0.31776,-0.4532100000000001,-1.38502,-1.37983,-0.8463700000000001,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
18,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
19,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
20,-0.79151,0.80523,0.7233,1.6110799999999998,-1.13788,0.19268,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
21,-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
22,0.41667,-0.94779,-0.8473200000000001,1.11406,-0.89891,-0.71126,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
23,1.60383,-3.27393,-1.2755299999999998,0.28783000000000003,-1.0145,-1.37983,-1.5485799999999998,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
24,-0.14882,0.63779,1.24033,0.7609600000000001,1.46191,-0.21712,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
25,-0.79151,-0.43999,-1.2755299999999998,0.94156,-0.00665,-0.21712,0.40148,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
26,-0.05188,-1.6334,-3.27393,-0.7609600000000001,0.5848899999999999,0.19268,-1.5485799999999998,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
27,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
28,0.04257,-1.50796,-0.71727,0.28783000000000003,1.3061200000000002,0.19268,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
29,-1.32828,1.74091,0.8830899999999999,0.94156,1.81175,-0.21712,-0.52593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
30,0.31287,-0.80615,-1.2755299999999998,-1.47955,-0.65253,-1.37983,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.8463700000000001,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
32,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
33,0.41667,-0.30033000000000004,0.29338000000000003,1.2861,-0.14277,-0.71126,-1.5485799999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,1.02119,0.63779,0.8830899999999999,-2.90161,-0.78155,0.52975,1.92173,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
35,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.5485799999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
37,0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,-1.5507799999999998,1.2861,0.29338000000000003,-0.01729,0.7583,-0.21712,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
39,-0.24649,-0.94779,-1.11902,-0.7609600000000001,0.41594,-1.37983,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
40,0.04257,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987000000000001,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
41,0.82562,0.0033200000000000005,1.06238,1.81866,-0.40581,-0.21712,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
42,-0.14882,-0.94779,-1.2755299999999998,-0.01729,-0.65253,-0.21712,-0.52593,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
43,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,-0.21712,-0.21575,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
